ID,NOMBRE ESTADO,SIGLADO,ID DTTO,CABECERA,ORIGEN PARTIDARIO,GRUPO
149,SINALOA,MORENA,5,CULIACÁN DE,MORENA,MORENA
,,,,ROSALES,,
,,,,,,
150,SINALOA,MORENA,7,CULIACÁN DE,MORENA,MORENA
,,,,ROSALES,,
151,SONORA,PT,2,NOGALES,PARTIDO DEL,PARTIDO DEL TRABAJO
,,,,,TRABAJO,
152,SONORA,MORENA,3,HERMOSILLO,MORENA,MORENA
153,SONORA,MORENA,5,HERMOSILLO,MORENA,MORENA
154,SONORA,PT,7,NAVOJOA,PARTIDO DEL,PARTIDO DEL TRABAJO
,,,,,TRABAJO,
155,TAMAULIPAS,PVEM,1,NUEVO LAREDO,PARTIDO VERDE,PARTIDO VERDE
,,,,,ECOLOGISTA DE,ECOLOGISTA DE MÉXICO
,,,,,MÉXICO,
156,TAMAULIPAS,PT,2,REYNOSA,PARTIDO DEL,PARTIDO DEL TRABAJO
,,,,,TRABAJO,
157,TAMAULIPAS,PVEM,3,RÍO BRAVO,PARTIDO VERDE,PARTIDO VERDE
,,,,,ECOLOGISTA DE,ECOLOGISTA DE MÉXICO
,,,,,MÉXICO,
158,TAMAULIPAS,MORENA,4,H. MATAMOROS,MORENA,MORENA
159,TAMAULIPAS,PVEM,5,CIUDAD VICTORIA,PARTIDO VERDE,PARTIDO VERDE
,,,,,ECOLOGISTA DE,ECOLOGISTA DE MÉXICO
,,,,,MÉXICO,
160,TAMAULIPAS,MORENA,7,CIUDAD MADERO,MORENA,MORENA
161,TAMAULIPAS,MORENA,8,TAMPICO,MORENA,MORENA
162,TAMAULIPAS,PT,9,REYNOSA,PARTIDO DEL,PARTIDO DEL TRABAJO
,,,,,TRABAJO,
163,TLAXCALA,PT,1,APIZACO,PARTIDO DEL,PARTIDO DEL TRABAJO
,,,,,TRABAJO,
164,TLAXCALA,PT,2,TLAXCALA DE,PARTIDO DEL,PARTIDO DEL TRABAJO
,,,,XICOHTÉNCATL,TRABAJO,
165,VERACRUZ,PVEM,1,PÁNUCO,PARTIDO VERDE,PARTIDO VERDE
,,,,,ECOLOGISTA DE,ECOLOGISTA DE MÉXICO
,,,,,MÉXICO,
166,VERACRUZ,PVEM,2,TANTOYUCA,PARTIDO VERDE,PARTIDO VERDE
,,,,,ECOLOGISTA DE,ECOLOGISTA DE MÉXICO
,,,,,MÉXICO,
167,VERACRUZ,MORENA,3,TUXPAM DE,MORENA,MORENA
,,,,RODRÍGUEZ CANO,,
168,VERACRUZ,MORENA,4,VERACRUZ,MORENA,MORENA
169,VERACRUZ,MORENA,5,POZA RICA DE,MORENA,MORENA
,,,,HIDALGO,,
170,VERACRUZ,MORENA,8,XALAPA,MORENA,MORENA
171,VERACRUZ,PVEM,12,VERACRUZ,PARTIDO VERDE,PARTIDO VERDE
,,,,,ECOLOGISTA DE,ECOLOGISTA DE MÉXICO
,,,,,MÉXICO,
172,VERACRUZ,PVEM,13,HUATUSCO,PARTIDO VERDE,PARTIDO VERDE
